Name,M1,M1_atom_number,M2,M2_atom_number,M3,M3_atom_number,Support ,Support_ID,M2_mol,M3_mol,M1_mol%,M2_mol%,M3_mol%,Temp,Total_flow,Ar_flow,CH4_flow,O2_flow,CT,CH4/O2,CH4_conv,C2y,C2H6y,C2H4y,COy,CO2y,C2s,C2H6s,C2H4s,COs,CO2s
Mn-Na2WO4/BN,Mn,25,Na,11,W,74,BN,4,0.370,0.185,40,40,20,750,10,7.0,2.3,0.8,0.75,3,26.66,5.29,0.64,4.65,21.53,2.97,19.84,2.40,17.44,80.76,11.14
Mn-Na2WO4/BN,Mn,25,Na,11,W,74,BN,4,0.370,0.185,40,40,20,750,15,10.5,3.4,1.1,0.50,3,25.99,6.26,0.79,5.47,21.22,2.89,24.09,3.04,21.05,81.65,11.12
Mn-Na2WO4/BN,Mn,25,Na,11,W,74,BN,4,0.370,0.185,40,40,20,750,20,14.0,4.5,1.5,0.38,3,20.46,5.65,0.73,4.92,16.87,1.86,27.61,3.57,24.05,82.45,9.09
Mn-Na2WO4/BN,Mn,25,Na,11,W,74,BN,4,0.370,0.185,40,40,20,750,10,7.0,2.4,0.6,0.75,4,20.79,6.44,1.08,5.36,15.43,1.65,30.98,5.19,25.78,74.22,7.94
Mn-Na2WO4/BN,Mn,25,Na,11,W,74,BN,4,0.370,0.185,40,40,20,750,15,10.5,3.6,0.9,0.50,4,21.65,6.77,1.25,5.52,13.60,1.48,31.27,5.77,25.50,62.82,6.84
Mn-Na2WO4/BN,Mn,25,Na,11,W,74,BN,4,0.370,0.185,40,40,20,750,20,14.0,4.8,1.2,0.38,4,10.32,4.48,1.30,3.18,7.23,0.58,43.41,12.60,30.81,70.06,5.62
Mn-Na2WO4/BN,Mn,25,Na,11,W,74,BN,4,0.370,0.185,40,40,20,750,10,7.0,2.6,0.4,0.75,6,5.68,3.72,1.34,2.38,4.40,0.22,65.49,23.59,41.90,77.46,3.87
Mn-Na2WO4/BN,Mn,25,Na,11,W,74,BN,4,0.370,0.185,40,40,20,750,15,10.5,3.9,0.6,0.50,6,4.07,2.61,1.18,1.43,3.30,0.13,64.13,28.99,35.14,81.08,3.19
Mn-Na2WO4/BN,Mn,25,Na,11,W,74,BN,4,0.370,0.185,40,40,20,750,20,14.0,5.1,0.9,0.38,6,32.26,5.75,0.70,5.05,26.97,8.27,17.82,2.17,15.65,83.60,25.64
Mn-Na2WO4/MgO,Mn,25,Na,11,W,74,MgO,6,0.370,0.185,40,40,20,900,10,1.5,5.7,2.8,0.75,2,32.33,4.52,0.57,3.95,23.69,9.04,13.98,1.76,12.22,73.28,27.96
